Time,Movement,Light,Temperature,Humidity,Sound
02:42:16,0,40,21.50,37.00,1
02:42:17,0,44,21.50,37.00,1
02:42:18,0,40,21.50,37.00,1
02:42:19,0,44,21.50,37.00,1
02:42:20,0,40,21.50,37.00,1
02:42:21,0,44,21.50,37.00,1
02:42:22,0,40,21.50,37.00,1
02:42:23,0,45,21.50,37.00,1
02:42:24,0,40,21.50,37.00,1
02:42:25,0,44,21.50,37.00,1
02:42:26,0,40,21.50,37.00,1
02:42:27,0,45,21.50,37.00,1
02:42:28,0,40,21.50,37.00,1
02:42:29,0,44,21.50,37.00,1
02:42:30,0,40,21.50,37.00,1
02:42:31,0,44,21.50,37.00,1
02:42:33,0,40,21.50,37.00,1
02:42:34,0,44,21.50,37.00,1
02:42:35,0,40,21.50,37.00,1
02:42:36,0,44,21.50,37.00,1
02:42:37,0,41,21.50,37.00,1
02:42:38,0,44,21.50,37.00,1
02:42:39,0,40,21.50,37.00,1
02:42:40,0,44,21.50,37.00,1
02:42:41,0,41,21.50,37.00,1
02:42:42,0,44,21.50,37.00,1
02:42:43,0,40,21.50,37.00,1
02:42:44,0,44,21.50,37.00,1
02:42:45,0,40,21.50,37.00,1
02:42:46,0,44,21.50,37.00,1
02:42:47,0,40,21.50,37.00,1
02:42:48,0,44,21.50,37.00,1
02:42:49,0,41,21.50,37.00,1
02:42:50,0,46,21.50,37.00,1
02:42:51,0,40,21.50,37.00,1
02:42:52,0,44,21.50,37.00,1
02:42:53,0,40,21.50,37.00,1
02:42:54,0,44,21.50,37.00,1
02:42:55,0,40,21.50,37.00,1
02:42:56,0,45,21.50,37.00,1
02:42:57,0,41,21.50,37.00,1
02:42:58,0,44,21.50,37.00,1
02:42:59,0,40,21.50,37.00,1
02:43:00,0,44,21.50,37.00,1
02:43:01,0,40,21.50,37.00,1
02:43:02,0,44,21.50,37.00,1
02:43:03,0,41,21.50,37.00,1
02:43:04,0,44,21.50,37.00,1
02:43:05,0,40,21.50,37.00,1
02:43:06,0,44,21.50,37.00,1
02:43:07,0,40,21.50,37.00,1
02:43:08,0,44,21.50,37.00,1
02:43:09,0,40,21.50,37.00,1
